50.500002,49.999999,0.012500
50.999962,50.006130,0.025000
51.499804,50.018653,0.037500
51.999449,50.036656,0.050000
52.498818,50.061863,0.062500
52.997848,50.093814,0.075000
53.496458,50.130521,0.087500
53.994557,50.174281,0.100000
54.492054,50.223815,0.112500
54.988903,50.280595,0.125000
55.484982,50.344057,0.137500
55.980272,50.412307,0.150000
56.474645,50.486029,0.162500
56.968041,50.566852,0.175000
57.460398,50.653440,0.187500
57.951638,50.746169,0.200000
58.441643,50.844493,0.212500
58.930387,50.946877,0.225000
59.417801,51.054345,0.237500
59.903774,51.171406,0.250000
60.388222,51.296468,0.262500
60.871088,51.425731,0.275000
61.352280,51.564080,0.287500
61.831782,51.707497,0.300000
62.309463,51.857060,0.312500
62.785266,52.011796,0.325000
63.259108,52.169563,0.337500
63.730901,52.336653,0.350000
64.200567,52.508108,0.362500
64.668068,52.689085,0.375000
65.133336,52.875557,0.387500
65.596284,53.067661,0.400000
66.056812,53.262731,0.412500
66.514851,53.464460,0.425000
66.970478,53.670939,0.437500
67.423383,53.885783,0.450000
67.873549,54.107321,0.462500
68.320987,54.332488,0.475000
68.765644,54.560867,0.487500
69.207369,54.796665,0.500000
69.646206,55.039059,0.512500
70.082025,55.278531,0.525000
70.514688,55.523474,0.537500
70.944189,55.781752,0.550000
71.370416,56.048646,0.562500
71.793357,56.318022,0.575000
72.212937,56.586456,0.587500
72.629066,56.856853,0.600000
73.041808,57.127627,0.612500
73.450850,57.405567,0.625000
73.856263,57.684504,0.637500
74.258088,57.982357,0.650000
74.656075,58.278427,0.662500
75.050232,58.584615,0.675000
75.440475,58.899272,0.687500
75.826887,59.214831,0.700000
76.209345,59.538890,0.712500
76.587690,59.866001,0.725000
76.961932,60.194158,0.737500
77.332075,60.537267,0.750000
77.697924,60.872264,0.762500
78.059407,61.219180,0.775000
78.416601,61.564321,0.787500
78.769419,61.911625,0.800000
79.117794,62.260764,0.812500
79.461475,62.622643,0.825000
79.800688,62.999616,0.837500
80.135442,63.367370,0.850000
80.465367,63.741772,0.862500
80.790616,64.130620,0.875000
81.111089,64.522407,0.887500
81.426855,64.926946,0.900000
81.737632,65.315466,0.912500
82.043641,65.706032,0.925000
82.344422,66.106008,0.937500
82.640363,66.506602,0.950000
82.931177,66.903838,0.962500
83.217047,67.315689,0.975000
83.497588,67.732524,0.987500
83.773043,68.142370,1.000000
84.043213,68.559710,1.012500
84.308219,68.985103,1.025000
84.567675,69.411771,1.037500
84.821900,69.858277,1.050000
85.070689,70.296410,1.062500
85.314137,70.737161,1.075000
85.551928,71.175763,1.087500
85.784220,71.624067,1.100000
86.011155,72.069534,1.112500
86.232460,72.512443,1.125000
86.448063,72.962222,1.137500
86.658145,73.418453,1.150000
86.862460,73.872113,1.162500
87.060924,74.334318,1.175000
87.253618,74.784453,1.187500
87.440579,75.261604,1.200000
87.621719,75.729524,1.212500
87.797001,76.180452,1.225000
87.966474,76.665411,1.237500
88.130021,77.128064,1.250000
88.287582,77.605801,1.262500
88.439257,78.090879,1.275000
88.584980,78.550901,1.287500
88.724695,79.037385,1.300000
88.858552,79.530694,1.312500
88.986375,80.023767,1.325000
89.108242,80.522576,1.337500
89.223853,81.004648,1.350000
89.333326,81.498885,1.362500
89.436856,81.985730,1.375000
89.534297,82.469411,1.387500
89.625381,82.957404,1.400000
89.710290,83.458258,1.412500
89.789086,83.969391,1.425000
89.861726,84.481628,1.437500
89.927896,84.980420,1.450000
89.988180,85.495080,1.462500
90.042253,86.008965,1.475000
90.090303,86.500256,1.487500
90.131760,87.006501,1.500000
90.167031,87.503290,1.512500
90.196093,88.003020,1.525000
90.219056,88.509123,1.537500
90.235718,88.998978,1.550000
90.246010,89.501385,1.562500
90.249883,89.989154,1.575000
90.247583,90.485479,1.587500
90.239294,91.009042,1.600000
90.224693,91.497487,1.612500
90.203789,92.001331,1.625000
90.176834,92.495443,1.637500
90.143506,93.006169,1.650000
90.103975,93.504963,1.662500
90.058144,93.998378,1.675000
90.006278,94.489647,1.687500
89.948053,94.974957,1.700000
89.883713,95.473051,1.712500
89.813159,95.967373,1.725000
89.736259,96.460153,1.737500
89.653114,96.949231,1.750000
89.564315,97.458804,1.762500
89.469172,97.953911,1.775000
89.367896,98.447257,1.787500
89.260524,98.948146,1.800000
89.146775,99.432423,1.812500
89.027093,99.911268,1.825000
88.901210,100.408632,1.837500
88.769532,100.880333,1.850000
88.631580,101.365150,1.862500
88.487685,101.830181,1.875000
88.337881,102.297340,1.887500
88.182292,102.797776,1.900000
88.020388,103.279724,1.912500
87.852906,103.740722,1.925000
87.679633,104.199097,1.937500
87.500070,104.652638,1.950000
87.315070,105.121327,1.962500
87.124346,105.588569,1.975000
86.927903,106.024904,1.987500
86.725480,106.477594,2.000000
86.517397,106.944148,2.012500
86.303548,107.398653,2.025000
86.083864,107.836964,2.037500
85.859046,108.262944,2.050000
85.628742,108.700758,2.062500
85.392765,109.127617,2.075000
85.151335,109.565247,2.087500
84.904536,109.993442,2.100000
84.651989,110.416080,2.112500
84.394525,110.840575,2.125000
84.131118,111.276903,2.137500
83.862695,111.694447,2.150000
83.589106,112.123355,2.162500
83.310107,112.539546,2.175000
83.026000,112.944008,2.187500
82.736908,113.360427,2.200000
82.442416,113.777820,2.212500
82.143162,114.175309,2.225000
81.838616,114.568782,2.237500
81.529404,114.962783,2.250000
81.215238,115.362814,2.262500
80.896597,115.762689,2.275000
80.572842,116.147478,2.287500
80.244465,116.516539,2.300000
79.911324,116.881888,2.312500
79.573565,117.269920,2.325000
